date,digits
2000-09-09,099418
2000-09-16,415825
2000-09-23,844960
2000-09-30,650461
2000-10-07,066757
2000-10-14,662939
2000-10-21,811158
2000-10-28,410048
2000-11-04,377015
2000-11-11,448836
2000-11-18,282732
2000-11-25,713731
2000-12-02,083807
2000-12-06,036122
2000-12-09,728229
2000-12-13,324705
2000-12-16,203353
2000-12-20,509589
2000-12-23,991086
2000-12-27,176025
2000-12-30,109309
2001-01-03,685258
2001-01-06,682160
2001-01-10,327616
2001-01-13,367135
2001-01-17,915746
2001-01-20,624815
2001-01-24,485577
2001-01-27,686128
2001-01-31,289911
2001-02-03,848188
2001-02-07,891662
2001-02-10,829376
2001-02-14,869508
2001-02-17,080635
2001-02-21,692500
2001-02-24,477356
2001-02-28,705864
2001-03-03,709903
2001-03-07,428811
2001-03-10,785878
2001-03-14,963014
2001-03-17,767304
2001-03-21,862718
2001-03-24,442082
2001-03-28,312685
2001-03-31,919624
2001-04-04,342171
2001-04-07,617392
2001-04-11,475035
2001-04-14,038935
2001-04-18,907775
2001-04-21,499194
2001-04-25,298740
2001-04-28,660387
2001-05-02,846920
2001-05-05,068205
2001-05-09,665755
2001-05-12,682508
2001-05-16,861470
2001-05-19,831590
2001-05-23,764603
2001-05-26,403285
2001-05-30,890618
2001-06-02,218879
2001-06-06,990590
2001-06-09,819757
2001-06-13,271572
2001-06-16,776812
2001-06-20,985513
2001-06-23,352358
2001-06-27,721116
2001-06-30,246988
2001-07-04,124131
2001-07-07,325071
2001-07-11,713623
2001-07-14,137962
2001-07-18,032659
2001-07-21,466925
2001-07-25,673991
2001-07-28,544993
2001-08-01,014952
2001-08-04,851856
2001-08-08,218131
2001-08-11,070694
2001-08-15,866552
2001-08-18,949785
2001-08-22,050504
2001-08-25,625213
2001-08-29,903538
2001-09-01,731980
2001-09-05,302455
2001-09-08,159580
2001-09-12,326975
2001-09-15,691945
2001-09-19,891438
2001-09-22,805007
2001-09-26,840516
2001-09-29,407737
2001-10-03,263454
2001-10-06,129793
2001-10-10,157408
2001-10-13,441411
2001-10-17,161827
2001-10-20,287778
2001-10-24,499496
2001-10-27,383514
2001-10-31,043719
2001-11-03,019669
2001-11-07,285803
2001-11-10,292070
2001-11-14,676323
2001-11-17,265326
2001-11-21,780201
2001-11-24,018910
2001-11-28,920982
2001-12-01,029063
2001-12-05,964814
2001-12-08,720022
2001-12-12,150460
2001-12-15,589599
2001-12-19,743979
2001-12-22,760004
2001-12-26,283359
2001-12-29,490781
2002-01-02,958900
2002-01-05,774998
2002-01-09,673561
2002-01-12,312164
2002-01-16,713927
2002-01-19,361116
2002-01-23,852828
2002-01-26,035507
2002-01-30,618215
2002-02-02,190747
2002-02-06,796442
2002-02-09,788551
2002-02-13,804720
2002-02-16,743480
2002-02-20,474929
2002-02-23,766956
2002-02-27,600336
2002-03-02,389521
2002-03-06,130482
2002-03-09,009339
2002-03-13,230446
2002-03-16,614530
2002-03-20,033001
2002-03-23,189551
2002-03-27,918542
2002-03-30,577739
2002-04-03,444866
2002-04-06,559220
2002-04-10,016216
2002-04-13,173747
2002-04-17,397270
2002-04-20,761165
2002-04-24,876288
2002-04-27,026774
2002-05-01,254675
2002-05-04,324230
2002-05-08,937701
2002-05-11,509985
2002-05-15,998085
2002-05-18,950178
2002-05-22,109468
2002-05-25,304006
2002-05-29,483876
2002-06-01,865404
2002-06-05,644909
2002-06-08,240512
2002-06-12,490309
2002-06-15,196646
2002-06-19,995262
2002-06-22,402135
2002-06-26,181023
2002-06-29,856593
2002-07-03,740451
2002-07-06,079658
2002-07-10,671404
2002-07-13,442891
2002-07-17,586592
2002-07-20,646567
2002-07-24,842708
2002-07-27,825445
2002-07-31,765550
2002-08-03,641236
2002-08-07,280453
2002-08-10,360012
2002-08-14,887634
2002-08-17,862029
2002-08-21,091761
2002-08-24,742831
2002-08-28,176034
2002-08-31,430382
2002-09-04,210339
2002-09-07,843384
2002-09-11,068631
2002-09-14,844626
2002-09-18,055901
2002-09-21,168589
2002-09-25,531596
2002-09-28,177960
2002-10-02,972391
2002-10-05,599021
2002-10-09,882246
2002-10-12,189969
2002-10-16,262871
2002-10-19,044755
2002-10-23,226280
2002-10-26,555321
2002-10-30,449746
2002-11-02,484508
2002-11-06,572721
2002-11-09,195800
2002-11-13,874413
2002-11-16,881974
2002-11-20,622183
2002-11-23,899234
2002-11-27,762222
2002-11-30,829489
2002-12-04,654631
2002-12-07,917434
2002-12-11,425888
2002-12-14,973981
2002-12-18,398880
2002-12-21,089434
2002-12-25,629002
2002-12-28,316197
2003-01-01,250298
2003-01-04,647765
2003-01-08,981262
2003-01-11,074230
2003-01-15,112316
2003-01-18,134204
2003-01-22,981938
2003-01-25,117415
2003-01-29,376405
2003-02-01,567218
2003-02-05,707546
2003-02-08,041447
2003-02-12,900362
2003-02-15,199106
2003-02-19,058511
2003-02-22,039970
2003-02-26,725246
2003-03-01,962680
2003-03-05,462848
2003-03-08,006333
2003-03-12,575279
2003-03-15,696654
2003-03-19,789612
2003-03-22,521535
2003-03-26,289280
2003-03-29,519248
2003-04-02,199733
2003-04-05,869119
2003-04-09,935280
2003-04-12,590899
2003-04-16,573812
2003-04-19,479689
2003-04-23,828653
2003-04-26,842722
2003-04-30,277547
2003-05-03,173168
2003-05-07,611621
2003-05-10,560260
2003-05-14,807703
2003-05-17,246814
2003-05-21,176259
2003-05-24,393661
2003-05-28,350421
2003-05-31,751297
2003-06-04,772594
2003-06-07,251164
2003-06-11,095788
2003-06-14,321961
2003-06-18,569459
2003-06-21,840383
2003-06-25,298135
2003-06-28,589453
2003-07-02,557949
2003-07-05,272106
2003-07-09,737927
2003-07-12,507255
2003-07-16,298270
2003-07-19,364549
2003-07-23,786074
2003-07-26,899902
2003-07-30,807733
2003-08-02,978395
2003-08-06,391689
2003-08-09,002365
2003-08-13,577539
2003-08-16,944628
2003-08-20,072032
2003-08-23,080052
2003-08-27,769282
2003-08-30,672002
2003-09-03,522856
2003-09-06,601812
2003-09-10,606606
2003-09-13,724177
2003-09-17,748339
2003-09-20,806602
2003-09-24,874348
2003-09-27,424641
2003-10-01,876978
2003-10-04,013388
2003-10-08,446470
2003-10-11,680538
2003-10-15,886051
2003-10-18,533638
2003-10-22,195105
2003-10-25,455317
2003-10-29,975725
2003-11-01,873662
2003-11-05,770677
2003-11-08,299496
2003-11-12,401608
2003-11-15,314216
2003-11-19,882291
2003-11-22,765381
2003-11-26,320197
2003-11-29,261377
2003-12-03,533118
2003-12-06,080065
2003-12-10,281314
2003-12-13,300387
2003-12-17,517457
2003-12-20,968030
2003-12-24,360753
2003-12-27,167055
2003-12-31,988179
2004-01-03,388590
2004-01-07,919792
2004-01-10,607530
2004-01-14,256619
2004-01-17,345651
2004-01-21,698911
2004-01-24,360687
2004-01-28,663543
2004-01-31,803817
2004-02-04,094473
2004-02-07,113049
2004-02-11,756752
2004-02-14,917946
2004-02-18,643735
2004-02-21,692812
2004-02-25,475400
2004-02-28,397912
2004-03-03,882893
2004-03-06,946909
2004-03-10,533863
2004-03-13,766971
2004-03-17,065635
2004-03-20,820421
2004-03-24,047400
2004-03-27,113360
2004-03-31,514077
2004-04-03,012723
2004-04-07,175722
2004-04-10,193985
2004-04-14,968170
2004-04-17,921675
2004-04-21,898215
2004-04-24,358837
2004-04-28,456792
2004-05-01,683195
2004-05-05,961683
2004-05-08,741992
2004-05-12,150463
2004-05-15,103895
2004-05-19,358098
2004-05-22,889240
2004-05-26,686631
2004-05-29,428201
2004-06-02,585898
2004-06-05,623956
2004-06-09,226156
2004-06-12,211882
2004-06-16,955539
2004-06-19,424933
2004-06-23,147435
2004-06-26,134734
2004-06-30,312155
2004-07-03,155371
2004-07-07,920899
2004-07-10,340936
2004-07-14,474408
2004-07-17,998609
2004-07-21,410764
2004-07-24,641621
2004-07-28,214522
2004-07-31,926502
2004-08-04,585351
2004-08-07,647171
2004-08-11,994671
2004-08-14,900301
2004-08-18,364332
2004-08-21,940179
2004-08-25,180652
2004-08-28,694584
2004-09-01,121379
2004-09-04,649188
2004-09-08,920286
2004-09-11,388082
2004-09-15,285907
2004-09-18,008906
2004-09-22,882822
2004-09-25,449731
2004-09-29,687030
2004-10-02,878036
2004-10-06,746245
2004-10-09,048616
2004-10-13,608401
2004-10-16,216313
2004-10-20,192388
2004-10-23,414724
2004-10-27,237038
2004-10-30,458556
2004-11-03,161023
2004-11-06,720939
2004-11-10,985863
2004-11-13,046711
2004-11-17,460027
2004-11-20,948605
2004-11-24,768655
2004-11-27,526698
2004-12-01,448774
2004-12-04,923219
2004-12-08,485602
2004-12-11,705261
2004-12-15,095003
2004-12-18,148180
2004-12-22,037545
2004-12-25,488859
2004-12-29,707471
2005-01-01,164932
2005-01-05,355697
2005-01-08,696482
2005-01-12,541260
2005-01-15,269610
2005-01-19,499635
2005-01-22,713531
2005-01-26,564621
2005-01-29,549329
2005-02-02,776560
2005-02-05,853188
2005-02-09,441923
2005-02-12,493507
2005-02-16,164059
2005-02-19,441567
2005-02-23,055682
2005-02-26,023057
2005-03-02,655204
2005-03-05,153440
2005-03-09,589900
2005-03-12,441433
2005-03-16,591442
2005-03-19,999728
2005-03-23,668207
2005-03-26,191707
2005-03-30,235332
2005-04-02,463687
2005-04-06,389038
2005-04-09,600981
2005-04-13,774061
2005-04-16,054987
2005-04-20,900860
2005-04-23,511695
2005-04-27,167612
2005-04-30,140046
2005-05-04,037508
2005-05-07,609907
2005-05-11,776535
2005-05-14,754919
2005-05-18,408579
2005-05-21,314747
2005-05-25,234483
2005-05-28,997861
2005-06-01,756024
2005-06-04,638553
2005-06-08,131478
2005-06-11,703124
2005-06-15,067497
2005-06-18,133745
2005-06-22,881413
2005-06-25,257993
2005-06-29,179725
2005-07-02,666498
2005-07-06,723365
2005-07-09,600236
2005-07-13,283989
2005-07-16,301085
2005-07-20,257789
2005-07-23,872452
2005-07-27,479403
2005-07-30,307391
2005-08-03,263671
2005-08-06,399971
2005-08-10,083386
2005-08-13,331717
2005-08-17,435433
2005-08-20,989708
2005-08-24,826536
2005-08-27,996494
2005-08-31,857367
2005-09-03,339160
2005-09-07,813766
2005-09-10,230082
2005-09-14,838203
2005-09-17,575837
2005-09-21,252874
2005-09-24,804630
2005-09-28,855736
2005-10-01,045885
2005-10-05,856421
2005-10-08,889442
2005-10-12,981414
2005-10-15,809311
2005-10-19,804696
2005-10-22,174563
2005-10-26,367640
2005-10-29,383611
2005-11-02,799414
2005-11-05,687731
2005-11-09,749184
2005-11-12,123094
2005-11-16,641944
2005-11-19,939464
2005-11-23,458606
2005-11-26,051207
2005-11-30,351976
2005-12-03,423401
2005-12-07,438252
2005-12-10,314512
2005-12-14,164969
2005-12-17,663638
2005-12-21,384462
2005-12-24,798158
2005-12-28,839733
2005-12-31,127216
2006-01-04,603894
2006-01-07,871275
2006-01-11,197460
2006-01-14,464006
2006-01-18,720835
2006-01-21,821358
2006-01-25,541485
2006-01-28,346311
2006-02-01,948088
2006-02-04,655050
2006-02-08,623508
2006-02-11,885185
2006-02-15,081783
2006-02-18,573904
2006-02-22,807642
2006-02-25,221475
2006-03-01,346008
2006-03-04,448600
2006-03-08,810595
2006-03-11,247460
2006-03-15,922831
2006-03-18,965027
2006-03-22,896401
2006-03-25,505601
2006-03-29,269673
2006-04-01,529944
2006-04-05,031326
2006-04-08,256523
2006-04-12,152168
2006-04-15,360262
2006-04-19,053103
2006-04-22,762872
2006-04-26,331130
2006-04-29,062807
2006-05-03,708261
2006-05-06,755992
2006-05-10,198453
2006-05-13,684102
2006-05-17,760436
2006-05-20,687523
2006-05-24,185365
2006-05-27,111629
2006-05-31,384968
2006-06-03,336845
2006-06-07,899732
2006-06-10,150586
2006-06-14,569506
2006-06-17,514783
2006-06-21,836986
2006-06-24,754868
2006-06-28,138529
2006-07-01,156727
2006-07-05,856022
2006-07-08,848270
2006-07-12,592917
2006-07-15,031464
2006-07-19,508272
2006-07-22,397616
2006-07-26,744748
2006-07-29,781061
2006-08-02,398762
2006-08-05,581786
2006-08-09,307622
2006-08-12,706687
2006-08-16,304079
2006-08-19,272478
2006-08-23,333175
2006-08-26,592407
2006-08-30,672529
2006-09-02,254884
2006-09-06,683997
2006-09-09,182329
2006-09-13,584933
2006-09-16,634608
2006-09-20,439555
2006-09-23,270827
2006-09-27,568379
2006-09-30,064657
2006-10-04,749211
2006-10-07,495681
2006-10-11,140176
2006-10-14,343065
2006-10-18,027549
2006-10-21,042952
2006-10-25,253428
2006-10-28,890814
2006-11-01,817468
2006-11-04,285879
2006-11-08,354210
2006-11-11,768512
2006-11-15,890008
2006-11-18,508187
2006-11-22,495887
2006-11-25,802706
2006-11-29,486845
2006-12-02,380679
2006-12-06,178573
2006-12-09,593164
2006-12-13,519692
2006-12-16,468848
2006-12-20,932346
2006-12-23,487239
2006-12-27,448558
2006-12-30,531464
2007-01-03,004638
2007-01-06,848757
2007-01-10,425222
2007-01-13,397827
2007-01-17,009940
2007-01-20,647225
2007-01-24,734476
2007-01-27,460500
2007-01-31,100191
2007-02-03,736217
2007-02-07,124182
2007-02-10,509973
2007-02-14,062723
2007-02-17,549890
2007-02-21,851607
2007-02-24,561802
2007-02-28,185550
2007-03-03,453459
2007-03-07,050501
2007-03-10,327538
2007-03-14,048167
2007-03-17,131269
2007-03-21,204228
2007-03-24,125440
2007-03-28,874034
2007-03-31,855953
2007-04-04,636989
2007-04-07,140875
2007-04-11,215122
2007-04-14,205063
2007-04-18,460722
2007-04-21,615109
2007-04-25,080105
2007-04-28,393971
2007-05-02,667322
2007-05-05,409710
2007-05-09,622625
2007-05-12,223995
2007-05-16,808623
2007-05-19,367766
2007-05-23,423322
2007-05-26,733006
2007-05-30,614618
2007-06-02,303611
2007-06-06,050061
2007-06-09,424331
2007-06-13,080590
2007-06-16,428835
2007-06-20,824015
2007-06-23,273421
2007-06-27,456547
2007-06-30,674565
2007-07-04,734631
2007-07-07,621161
2007-07-11,743169
2007-07-14,203055
2007-07-18,851086
2007-07-21,162090
2007-07-25,670648
2007-07-28,084983
2007-08-02,547434
2007-08-04,152812
2007-08-08,320670
2007-08-11,303375
2007-08-15,571340
2007-08-18,492350
2007-08-22,335451
2007-08-25,036134
2007-08-29,047109
2007-09-01,655466
2007-09-05,939329
2007-09-08,948679
2007-09-12,950441
2007-09-15,442335
2007-09-19,423473
2007-09-22,189179
2007-09-26,346963
2007-09-29,271192
2007-10-03,848200
2007-10-06,724979
2007-10-10,764900
2007-10-13,206561
2007-10-17,660184
2007-10-20,237403
2007-10-24,171077
2007-10-27,730855
2007-10-31,307919
2007-11-03,246908
2007-11-07,924390
2007-11-10,755879
2007-11-14,678964
2007-11-17,837068
2007-11-21,118649
2007-11-24,265351
2007-11-28,464824
2007-12-01,765509
2007-12-05,635004
2007-12-08,066545
2007-12-12,742032
2007-12-15,776382
2007-12-19,790096
2007-12-22,890861
2007-12-26,936529
2007-12-29,218735
2008-01-02,125283
2008-01-05,889597
2008-01-09,684899
2008-01-12,968852
2008-01-16,044405
2008-01-19,583293
2008-01-23,697795
2008-01-26,557198
2008-01-30,935307
2008-02-02,340847
2008-02-06,533470
2008-02-09,482814
2008-02-13,863146
2008-02-16,644167
2008-02-20,766472
2008-02-23,689446
2008-02-27,476461
2008-03-01,805347
2008-03-05,324734
2008-03-08,037096
2008-03-12,581143
2008-03-15,520277
2008-03-19,161139
2008-03-22,181097
2008-03-26,129925
2008-03-29,439375
2008-04-02,679248
2008-04-05,952244
2008-04-09,638155
2008-04-12,281885
2008-04-16,679903
2008-04-19,022756
2008-04-23,801031
2008-04-26,181463
2008-04-30,111013
2008-05-03,084209
2008-05-07,449575
2008-05-10,885581
2008-05-14,828543
2008-05-17,960438
2008-05-21,836281
2008-05-24,648154
2008-05-28,989947
2008-05-31,943727
2008-06-04,487287
2008-06-07,094393
2008-06-11,557443
2008-06-14,520088
2008-06-18,749336
2008-06-21,878536
2008-06-25,083085
2008-06-28,042345
2008-07-02,187226
2008-07-05,820242
2008-07-09,780552
2008-07-12,280233
2008-07-16,241935
2008-07-19,021705
2008-07-23,589660
2008-07-26,436881
2008-07-30,171169
2008-08-02,259870
2008-08-06,343900
2008-08-09,877802
2008-08-13,361853
2008-08-16,708195
2008-08-20,314102
2008-08-23,937368
2008-08-27,580421
2008-08-30,361469
2008-09-03,866083
2008-09-06,833563
2008-09-10,309074
2008-09-13,634264
2008-09-17,504176
2008-09-20,495873
2008-09-24,619250
2008-09-27,765240
2008-10-01,501089
2008-10-04,321389
2008-10-08,300731
2008-10-11,311250
2008-10-15,608325
2008-10-18,920777
2008-10-22,621128
2008-10-25,292963
2008-10-29,077186
2008-11-01,184422
2008-11-05,631097
2008-11-08,603687
2008-11-12,321338
2008-11-15,620038
2008-11-19,981172
2008-11-22,183192
2008-11-26,862257
2008-11-29,630043
2008-12-03,904209
2008-12-06,038795
2008-12-10,279479
2008-12-13,905369
2008-12-17,507593
2008-12-20,505928
2008-12-24,031961
2008-12-27,925259
2008-12-31,397746
2009-01-03,416752
2009-01-07,142961
2009-01-10,184410
2009-01-14,619783
2009-01-17,270862
2009-01-21,438095
2009-01-24,964342
2009-01-28,927840
2009-01-31,182488
2009-02-04,218031
2009-02-07,545060
2009-02-11,094365
2009-02-14,990838
2009-02-18,483522
2009-02-21,832209
2009-02-25,268817
2009-02-28,261791
2009-03-04,155422
2009-03-07,129877
2009-03-11,250888
2009-03-14,895187
2009-03-18,561715
2009-03-21,083385
2009-03-25,778463
2009-03-28,863163
2009-04-01,843117
2009-04-04,673794
2009-04-08,564537
2009-04-11,315286
2009-04-15,005058
2009-04-18,951752
2009-04-22,031220
2009-04-25,425151
2009-04-29,635354
2009-05-02,402064
2009-05-06,668459
2009-05-09,668144
2009-05-13,810280
2009-05-16,860229
2009-05-20,560907
2009-05-23,599611
2009-05-27,504767
2009-05-30,597937
2009-06-03,939525
2009-06-06,408983
2009-06-10,620886
2009-06-13,744267
2009-06-17,200352
2009-06-20,149976
2009-06-24,148555
2009-06-27,558598
2009-07-01,181985
2009-07-04,701215
2009-07-08,063877
2009-07-11,338705
2009-07-15,542256
2009-07-18,365511
2009-07-22,965067
2009-07-25,006052
2009-07-29,383780
2009-08-01,473570
2009-08-05,282565
2009-08-08,478456
2009-08-12,152381
2009-08-15,722350
2009-08-19,937899
2009-08-22,910106
2009-08-26,686520
2009-08-29,219331
2009-09-02,799276
2009-09-05,208050
2009-09-09,358877
2009-09-12,662628
2009-09-16,364245
2009-09-19,646733
2009-09-23,946310
2009-09-26,129904
2009-09-30,226171
2009-10-03,454744
2009-10-07,204270
2009-10-10,885247
2009-10-14,445179
2009-10-17,099396
2009-10-21,887711
2009-10-24,057736
2009-10-28,747900
2009-10-31,411581
2009-11-04,859153
2009-11-07,750948
2009-11-11,093518
2009-11-14,592465
2009-11-18,790265
2009-11-21,738988
2009-11-25,233095
2009-11-28,974516
2009-12-02,349875
2009-12-05,500781
2009-12-09,053380
2009-12-12,922437
2009-12-16,776145
2009-12-19,456547
2009-12-23,517512
2009-12-26,913084
2009-12-30,588627
2010-01-02,478203
2010-01-06,805833
2010-01-09,015785
2010-01-13,228945
2010-01-16,082287
2010-01-20,476922
2010-01-23,980038
2010-01-27,082914
2010-01-30,865709
2010-02-03,430150
2010-02-06,290431
2010-02-10,387458
2010-02-13,830750
2010-02-17,580500
2010-02-20,785808
2010-02-24,787501
2010-02-27,263747
2010-03-03,828942
2010-03-06,651001
2010-03-10,069748
2010-03-13,909076
2010-03-17,950511
2010-03-20,905909
2010-03-24,032645
2010-03-27,755987
2010-03-31,068284
2010-04-03,688114
2010-04-07,529501
2010-04-10,362802
2010-04-14,537715
2010-04-17,808112
2010-04-21,532656
2010-04-24,546855
2010-04-28,708075
2010-05-01,866922
2010-05-05,693843
2010-05-08,997755
2010-05-12,412200
2010-05-15,532584
2010-05-19,567399
2010-05-22,094160
2010-05-26,552200
2010-05-29,323663
2010-06-02,250153
2010-06-05,223552
2010-06-09,490746
2010-06-12,984141
2010-06-16,558997
2010-06-19,891957
2010-06-23,840394
2010-06-26,024222
2010-06-30,517765
2010-07-03,513050
2010-07-07,957404
2010-07-10,594545
2010-07-14,545463
2010-07-17,246723
2010-07-21,093063
2010-07-24,352815
2010-07-28,323873
2010-07-31,900143
2010-08-04,036082
2010-08-07,335284
2010-08-11,916018
2010-08-14,523958
2010-08-18,454797
2010-08-21,551668
2010-08-25,937226
2010-08-28,617450
2010-09-01,896632
2010-09-04,151373
2010-09-08,261103
2010-09-11,827460
2010-09-15,923965
2010-09-18,690275
2010-09-22,796158
2010-09-25,871426
2010-09-29,190826
2010-10-02,419736
2010-10-06,249783
2010-10-09,233150
2010-10-13,508804
2010-10-16,737720
2010-10-20,412116
2010-10-23,491774
2010-10-27,318161
2010-10-30,419561
2010-11-03,682170
2010-11-06,552684
2010-11-10,266488
2010-11-13,023524
2010-11-17,721090
2010-11-20,486415
2010-11-24,693826
2010-11-27,310499
2010-12-01,471983
2010-12-04,237280
2010-12-08,456339
2010-12-11,834553
2010-12-15,999281
2010-12-18,040495
2010-12-22,216034
2010-12-25,877521
2010-12-29,886165
2011-01-01,342346
2011-01-05,450512
2011-01-08,537082
2011-01-12,473564
2011-01-15,904115
2011-01-19,526425
2011-01-22,097457
2011-01-26,437943
2011-01-29,478334
2011-02-02,566627
2011-02-05,926728
2011-02-09,862883
2011-02-12,960091
2011-02-16,761915
2011-02-19,208765
2011-02-23,658594
2011-02-26,417338
2011-03-02,975464
2011-03-05,884536
2011-03-09,240718
2011-03-12,165443
2011-03-16,987614
2011-03-19,138198
2011-03-23,091624
2011-03-26,652275
2011-03-30,962257
2011-04-02,562096
2011-04-06,529067
2011-04-09,494852
2011-04-13,814913
2011-04-16,751415
2011-04-20,889193
2011-04-23,803404
2011-04-27,403903
2011-04-30,755262
2011-05-04,040824
2011-05-07,500111
2011-05-11,709204
2011-05-14,711443
2011-05-18,066009
2011-05-21,298533
2011-05-25,552975
2011-05-28,573874
2011-06-01,415967
2011-06-04,058591
2011-06-08,244030
2011-06-11,596355
2011-06-15,674151
2011-06-18,367077
2011-06-22,396712
2011-06-25,656389
2011-06-29,154914
2011-07-02,198641
2011-07-06,522779
2011-07-09,578303
2011-07-13,637375
2011-07-16,147200
2011-07-20,558200
2011-07-23,553557
2011-07-27,626094
2011-07-30,128085
2011-08-03,336053
2011-08-06,939780
2011-08-10,768532
2011-08-13,631259
2011-08-17,056677
2011-08-20,456746
2011-08-24,870650
2011-08-27,723032
2011-08-31,401671
2011-09-03,565745
2011-09-07,751564
2011-09-10,985434
2011-09-14,227421
2011-09-17,008369
2011-09-21,154716
2011-09-24,712393
2011-09-28,409451
2011-10-01,194912
2011-10-05,068264
2011-10-08,315905
2011-10-12,347181
2011-10-15,784537
2011-10-19,837787
2011-10-22,481312
2011-10-26,175822
2011-10-29,637253
2011-11-02,745929
2011-11-05,335598
2011-11-06,641848
2011-11-09,648093
2011-11-12,059018
2011-11-19,907147
2011-11-23,448669
2011-11-26,434119
2011-11-30,885989
2011-12-03,675222
2011-12-04,142210
2011-12-07,557616
2011-12-10,486911
2011-12-17,061076
2011-12-21,295572
2011-12-24,821865
2011-12-28,686834
2011-12-31,996395
2012-01-04,645804
2012-01-07,478006
2012-01-11,312609
2012-01-14,438144
2012-01-18,426853
2012-01-21,634096
2012-01-25,892698
2012-01-28,484968
2012-02-01,464811
2012-02-04,846526
2012-02-08,620415
2012-02-11,549450
2012-02-15,471055
2012-02-18,495453
2012-02-22,146869
2012-02-25,451104
2012-02-29,335745
2012-03-03,415552
2012-03-07,778000
2012-03-10,402932
2012-03-14,720000
2012-03-17,241881
2012-03-21,710478
2012-03-24,314276
2012-03-28,380666
2012-03-31,421956
2012-04-04,054712
2012-04-07,459988
2012-04-11,183947
2012-04-14,679386
2012-04-18,486618
2012-04-21,173266
2012-04-25,919091
2012-04-28,472930
2012-05-02,496006
2012-05-05,832669
2012-05-09,947953
2012-05-12,727347
2012-05-16,420875
2012-05-19,370429
2012-05-23,967149
2012-05-26,112177
2012-05-30,205067
2012-06-02,516893
2012-06-06,875584
2012-06-09,680881
2012-06-13,125626
2012-06-16,473667
2012-06-20,635007
2012-06-23,815242
2012-06-27,371772
2012-06-30,357226
2012-07-04,311692
2012-07-07,711012
2012-07-11,633233
2012-07-14,347093
